Action,portion_code,portiondesc,Active
,6062800,"crepe with filling, with sauce",1
,6062900,crepe with sauce,1
,6063000,crescent biscuit,1
,6063100,crescent roll,1
,6063200,crisp,1
,6063400,crispbread,1
,6063500,"fillet (5-1/4"" x 2"" x 3/8"")",1
,6063600,sandwich,1
,6063601,croissant,1
,6063700,croquette,1
,6063800,croquette,1
,6064000,"cruller (3-1/4"" across)",1
,6064100,cube,1
,6064101,small cube,1
,6068000,"cupcake (2-3/4"" across)",1
,6068100,custard cup,1
,6068200,cutlet or steak,1
,6068201,turkey cutlet,1
,6068400,date,1
,6068500,deli slice (1 oz),1
,6068600,diet slice,1
,6068700,dim sum,1
